
---------- Begin Simulation Statistics ----------
simSeconds                                   0.016421                       # Number of seconds simulated (Second)
simTicks                                  16420599500                       # Number of ticks simulated (Tick)
finalTick                                 16420599500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    109.45                       # Real time elapsed on the host (Second)
hostTickRate                                150033666                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     671532                       # Number of bytes of host memory used (Byte)
simInsts                                      4986637                       # Number of instructions simulated (Count)
simOps                                        4986684                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    45562                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      45563                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         32841200                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               6.585841                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.151841                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         5009648                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      161                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        5505633                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     25                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                23124                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             21095                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  44                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            32841200                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.167644                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.698896                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  30325741     92.34%     92.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1103367      3.36%     95.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    560490      1.71%     97.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    424811      1.29%     98.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    234481      0.71%     99.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    108472      0.33%     99.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     64369      0.20%     99.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     15397      0.05%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      4072      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              32841200                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     636     35.93%     35.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     35.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     35.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     35.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     35.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     35.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     35.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     35.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     35.93% # attempts to use FU when none available (Count)
